restaurant_id,restaurant_name,locality,source_url,source_type,accessed_date,permission_license,extraction_method,included_records
9100001,Al Di La - Conrad Pune,Sangamwadi,https://www.conradpune.com/wp-content/uploads/2026/02/Aldila-A-la-Carte-Menu-Print-2025.pdf,Official restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,PDF text plus visually verified colored dietary marker,23
9100002,Coriander Kitchen - Conrad Pune,Sangamwadi,https://www.conradpune.com/wp-content/uploads/2026/02/CK-All-Day-Dining-Menu-Print-2025.pdf,Official restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,PDF text plus visually verified colored dietary marker,91
9100004,Zeera - Conrad Pune,Sangamwadi,https://www.conradpune.com/wp-content/uploads/2026/02/Zeera-Menu-print-2025-1.pdf,Official restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,PDF text plus visually verified colored dietary marker,72
9100005,Kabana - Conrad Pune,Sangamwadi,https://www.conradpune.com/wp-content/uploads/2026/02/Kabana-A-la-Carte-Menu-print-2025.pdf,Official restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,PDF text plus visually verified colored dietary marker,31
9100006,Pune Sugar Box - Conrad Pune,Sangamwadi,https://www.conradpune.com/wp-content/uploads/2026/02/PSB-A-la-Carte-Menu-Print-2025-1.pdf,Official restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,PDF text plus visually verified colored dietary marker,17
9100003,Koji - Conrad Pune,Sangamwadi,https://www.conradpune.com/wp-content/uploads/2026/02/Koji-Food-Menu-Print-2025-2.pdf,Official restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,PDF text plus visually verified colored dietary marker,96
9100007,Toit Pune,Kalyani Nagar,https://toit.in/doc/Toit_Pune_Food_Menu_.pdf,Official restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,PDF text plus visually verified colored dietary marker,67
9100009,Mr & Mrs Idly - Pimple Saudagar,Pimple Saudagar,https://mrandmrsidlypune.com/,Official restaurant website menu,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,Structured HTML menu; outlet explicitly states 100% pure vegetarian,67
9100010,Mr & Mrs Idly - Bibvewadi,Bibvewadi,https://mrandmrsidlypune.com/,Official restaurant website menu,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,Structured HTML menu; outlet explicitly states 100% pure vegetarian,67
9100008,Appetite - 7 Apple Hotel Viman Nagar,Viman Nagar,https://www.7applehotels.com/pdfs/Viman-Nagar-appetite-menu.pdf,Official hotel restaurant menu PDF,2026-07-26,Official publicly accessible menu; no explicit open-data reuse license found. Copyright remains with the publisher; review rights before redistribution.,Manual transcription of rows with visible dietary marker and price,73
