order_id,user_id,meal_time,day_of_week,day_type,vegetarian,location,payment_method,preferred_cuisine,average_spend,spice_preference,rating,ordered_cuisine,order_amount
O000001,U00001,Dinner,Monday,Weekday,No,Bengaluru,UPI,Snacks,165,Medium,4.1,Snacks,200
O000002,U00002,Lunch,Sunday,Weekend,No,Pune,UPI,Mughlai,255,Medium,4.2,Mughlai,265
O000003,U00003,Evening Snack,Friday,Weekday,No,Mumbai,Cash on Delivery,Snacks,135,Medium,4.4,Snacks,110
O000004,U00004,Lunch,Monday,Weekday,No,Delhi,Credit Card,Italian-American,140,Medium,3.7,Italian-American,155
O000005,U00005,Dinner,Saturday,Weekend,No,Hyderabad,Wallet,Chettinad,140,Medium,5,Chettinad,170
O000006,U00006,Lunch,Thursday,Weekday,No,Chennai,UPI,Ice Cream,140,Mild,4.9,Ice Cream,160
O000007,U00007,Dinner,Wednesday,Weekday,Yes,Kolkata,UPI,Mangalorean,205,Medium,4.6,Mangalorean,160
O000008,U00008,Lunch,Tuesday,Weekday,No,Ahmedabad,Cash on Delivery,Tandoor,160,Hot,3.2,Maharashtrian,150
O000009,U00009,Lunch,Wednesday,Weekday,No,Jaipur,Credit Card,Fast Food,135,Medium,4.3,Fast Food,140
O000010,U00010,Evening Snack,Friday,Weekday,No,Lucknow,Wallet,Tandoor,160,Hot,4.4,Tandoor,95
O000011,U00011,Lunch,Sunday,Weekend,Yes,Bengaluru,UPI,Pastas,230,Medium,5,Pastas,265
O000012,U00012,Lunch,Sunday,Weekend,Yes,Pune,UPI,Home Food,210,Medium,3.6,Home Food,170
O000013,U00013,Dinner,Monday,Weekday,Yes,Mumbai,Cash on Delivery,Home Food,110,Hot,5,Home Food,160
O000014,U00014,Lunch,Thursday,Weekday,Yes,Delhi,Credit Card,Gujarati,160,Hot,4.3,Gujarati,175
O000015,U00015,Dinner,Thursday,Weekday,No,Hyderabad,Wallet,Andhra,185,Hot,4.3,Andhra,220
O000016,U00016,Evening Snack,Monday,Weekday,Yes,Chennai,UPI,Ice Cream Cakes,145,Mild,4.8,Ice Cream Cakes,90
O000017,U00017,Lunch,Monday,Weekday,Yes,Kolkata,UPI,Juices,155,Mild,4.6,Juices,130
O000018,U00018,Evening Snack,Monday,Weekday,Yes,Ahmedabad,Cash on Delivery,Burmese,385,Mild,3.1,Healthy Food,185
O000019,U00019,Dinner,Thursday,Weekday,Yes,Jaipur,Credit Card,South Indian,165,Mild,4.4,South Indian,170
O000020,U00020,Breakfast,Wednesday,Weekday,Yes,Lucknow,Wallet,Andhra,225,Medium,4.1,Andhra,135
O000021,U00021,Dinner,Monday,Weekday,Yes,Bengaluru,UPI,Afghani,120,Medium,3.7,Ice Cream Cakes,125
O000022,U00022,Dinner,Thursday,Weekday,Yes,Pune,UPI,Italian,235,Medium,4.9,Italian,295
O000023,U00023,Lunch,Friday,Weekday,Yes,Mumbai,Cash on Delivery,British,185,Hot,5,British,215
O000024,U00024,Evening Snack,Monday,Weekday,No,Delhi,Credit Card,Beverages,145,Mild,4.1,Beverages,125
O000025,U00025,Dinner,Friday,Weekday,No,Hyderabad,Wallet,Steakhouse,360,Medium,4.4,Steakhouse,480
O000026,U00026,Dinner,Monday,Weekday,Yes,Chennai,UPI,North Indian,200,Medium,5,North Indian,220
O000027,U00027,Lunch,Saturday,Weekend,No,Kolkata,UPI,Desserts,160,Mild,4.5,Desserts,145
O000028,U00028,Dinner,Tuesday,Weekday,No,Ahmedabad,Cash on Delivery,Thai,410,Medium,4.2,Thai,400
O000029,U00029,Lunch,Saturday,Weekend,Yes,Jaipur,Credit Card,North Indian,230,Hot,3.6,Chinese,265
O000030,U00030,Dinner,Saturday,Weekend,No,Lucknow,Wallet,Snacks,135,Hot,5,Snacks,125
O000031,U00031,Dinner,Sunday,Weekend,No,Bengaluru,UPI,Chaat,75,Mild,3.9,Chaat,100
O000032,U00032,Dinner,Tuesday,Weekday,No,Pune,UPI,Andhra,245,Medium,3.7,Chinese,285
O000033,U00033,Evening Snack,Saturday,Weekend,No,Mumbai,Cash on Delivery,Bakery,300,Mild,5,Bakery,245
O000034,U00034,Evening Snack,Tuesday,Weekday,Yes,Delhi,Credit Card,Pan-Asian,240,Medium,4.8,Pan-Asian,135
O000035,U00035,Evening Snack,Wednesday,Weekday,Yes,Hyderabad,Wallet,Juices,105,Mild,4.3,Juices,75
O000036,U00036,Evening Snack,Saturday,Weekend,Yes,Chennai,UPI,Thalis,160,Medium,4.3,Thalis,85
O000037,U00037,Lunch,Sunday,Weekend,Yes,Kolkata,UPI,Beverages,185,Mild,3.9,Beverages,205
O000038,U00038,Evening Snack,Thursday,Weekday,No,Ahmedabad,Cash on Delivery,Beverages,190,Mild,3.2,Beverages,105
O000039,U00039,Lunch,Sunday,Weekend,No,Jaipur,Credit Card,Cafe,155,Medium,4.9,Cafe,180
O000040,U00040,Lunch,Sunday,Weekend,No,Lucknow,Wallet,Pizzas,225,Medium,4,Ice Cream,185
O000041,U00041,Dinner,Monday,Weekday,No,Bengaluru,UPI,Salads,225,Medium,4.5,Salads,275
O000042,U00042,Breakfast,Sunday,Weekend,No,Pune,UPI,Sweets,140,Medium,4.5,Sweets,135
O000043,U00043,Dinner,Friday,Weekday,No,Mumbai,Cash on Delivery,Punjabi,135,Hot,4,Fast Food,175
O000044,U00044,Dinner,Tuesday,Weekday,No,Delhi,Credit Card,Gujarati,180,Medium,4.5,Gujarati,235
O000045,U00045,Dinner,Wednesday,Weekday,No,Hyderabad,Wallet,Cafe,225,Medium,4.4,Cafe,270
O000046,U00046,Dinner,Sunday,Weekend,No,Chennai,UPI,Ice Cream,180,Mild,4,Ice Cream,215
O000047,U00047,Breakfast,Sunday,Weekend,No,Kolkata,UPI,Cafe,190,Mild,5,Cafe,105
O000048,U00048,Lunch,Friday,Weekday,No,Ahmedabad,Cash on Delivery,Continental,305,Medium,3.9,Continental,220
O000049,U00049,Breakfast,Monday,Weekday,No,Jaipur,Credit Card,Italian-American,185,Medium,3.6,Gujarati,135
O000050,U00050,Dinner,Monday,Weekday,No,Lucknow,Wallet,Turkish,240,Medium,3.8,Turkish,230
O000051,U00051,Lunch,Monday,Weekday,Yes,Bengaluru,UPI,Indian,195,Medium,4.6,Indian,235
O000052,U00052,Lunch,Tuesday,Weekday,No,Pune,UPI,Gujarati,180,Medium,3.8,Gujarati,180
O000053,U00053,Breakfast,Friday,Weekday,No,Mumbai,Cash on Delivery,Fast Food,150,Medium,4.5,Fast Food,120
O000054,U00054,Evening Snack,Saturday,Weekend,No,Delhi,Credit Card,Street Food,80,Medium,5,Street Food,70
O000055,U00055,Lunch,Saturday,Weekend,Yes,Hyderabad,Wallet,Biryani,205,Medium,4.6,Biryani,255
O000056,U00056,Dinner,Sunday,Weekend,Yes,Chennai,UPI,Sweets,115,Mild,4,Sweets,165
O000057,U00057,Dinner,Tuesday,Weekday,Yes,Kolkata,UPI,Waffle,95,Mild,4.7,Waffle,105
O000058,U00058,Dinner,Tuesday,Weekday,No,Ahmedabad,Cash on Delivery,Kebabs,180,Hot,3.2,Indian,175
O000059,U00059,Dinner,Thursday,Weekday,No,Jaipur,Credit Card,Street Food,80,Medium,4.8,Street Food,90
O000060,U00060,Breakfast,Friday,Weekday,Yes,Lucknow,Wallet,Continental,220,Hot,4.4,Continental,165
O000061,U00061,Breakfast,Sunday,Weekend,No,Bengaluru,UPI,Middle Eastern,330,Medium,4.7,Middle Eastern,335
O000062,U00062,Lunch,Thursday,Weekday,No,Pune,UPI,SVANidhi Street Food Vendor,80,Hot,4.6,SVANidhi Street Food Vendor,90
O000063,U00063,Lunch,Sunday,Weekend,No,Mumbai,Cash on Delivery,African,365,Mild,4.7,African,430
O000064,U00064,Dinner,Monday,Weekday,Yes,Delhi,Credit Card,Kebabs,225,Hot,4.5,Kebabs,285
O000065,U00065,Dinner,Sunday,Weekend,Yes,Hyderabad,Wallet,Snacks,115,Mild,4,Snacks,160
O000066,U00066,Lunch,Monday,Weekday,Yes,Chennai,UPI,Japanese,190,Medium,4.3,Japanese,175
O000067,U00067,Lunch,Friday,Weekday,No,Kolkata,UPI,Barbecue,375,Medium,5,Barbecue,300
O000068,U00068,Dinner,Friday,Weekday,Yes,Ahmedabad,Cash on Delivery,Salads,255,Medium,4.7,Salads,250
O000069,U00069,Lunch,Monday,Weekday,Yes,Jaipur,Credit Card,Rajasthani,150,Medium,4.5,Rajasthani,125
O000070,U00070,Evening Snack,Sunday,Weekend,No,Lucknow,Wallet,Afghani,145,Hot,4.6,Afghani,95
O000071,U00071,Dinner,Tuesday,Weekday,No,Bengaluru,UPI,Barbecue,325,Mild,5,Barbecue,420
O000072,U00072,Dinner,Wednesday,Weekday,Yes,Pune,UPI,Street Food,70,Medium,4,Street Food,85
O000073,U00073,Evening Snack,Saturday,Weekend,No,Mumbai,Cash on Delivery,Waffle,150,Mild,3.8,Waffle,140
O000074,U00074,Dinner,Monday,Weekday,No,Delhi,Credit Card,Bakery,220,Mild,4.5,Bakery,330
O000075,U00075,Evening Snack,Friday,Weekday,Yes,Hyderabad,Wallet,Desserts,145,Mild,4.4,Desserts,90
O000076,U00076,Dinner,Wednesday,Weekday,Yes,Chennai,UPI,Chinese,190,Medium,3.9,Chinese,205
O000077,U00077,Dinner,Saturday,Weekend,No,Kolkata,UPI,Japanese,445,Hot,4.8,Japanese,585
O000078,U00078,Dinner,Thursday,Weekday,Yes,Ahmedabad,Cash on Delivery,Punjabi,200,Hot,4.5,Punjabi,215
O000079,U00079,Dinner,Tuesday,Weekday,Yes,Jaipur,Credit Card,Portuguese,320,Mild,4.6,Portuguese,345
O000080,U00080,Lunch,Tuesday,Weekday,Yes,Lucknow,Wallet,Pizzas,210,Hot,3.7,Thalis,175
O000081,U00081,Lunch,Tuesday,Weekday,Yes,Bengaluru,UPI,Lebanese,130,Medium,4.4,Lebanese,135
O000082,U00082,Lunch,Friday,Weekday,No,Pune,UPI,Chinese,175,Medium,4.2,Chinese,150
O000083,U00083,Dinner,Saturday,Weekend,No,Mumbai,Cash on Delivery,Desserts,195,Medium,4.3,Punjabi,295
O000084,U00084,Dinner,Sunday,Weekend,Yes,Delhi,Credit Card,Waffle,145,Medium,4.8,Waffle,195
O000085,U00085,Lunch,Saturday,Weekend,Yes,Hyderabad,Wallet,Pizzas,220,Medium,4.6,Pizzas,230
O000086,U00086,Dinner,Monday,Weekday,No,Chennai,UPI,Waffle,155,Mild,3.7,Thai,170
O000087,U00087,Lunch,Friday,Weekday,No,Kolkata,UPI,Biryani,150,Medium,4.3,Biryani,155
O000088,U00088,Breakfast,Thursday,Weekday,Yes,Ahmedabad,Cash on Delivery,Bakery,205,Medium,4.2,Bakery,110
O000089,U00089,Lunch,Tuesday,Weekday,No,Jaipur,Credit Card,Burmese,320,Hot,4.3,Burmese,265
O000090,U00090,Breakfast,Sunday,Weekend,Yes,Lucknow,Wallet,Bengali,300,Medium,3.9,Bengali,200
O000091,U00091,Lunch,Tuesday,Weekday,Yes,Bengaluru,UPI,Mangalorean,165,Medium,4.8,Mangalorean,190
O000092,U00092,Dinner,Sunday,Weekend,Yes,Pune,UPI,Bengali,215,Medium,5,Bengali,340
O000093,U00093,Evening Snack,Saturday,Weekend,No,Mumbai,Cash on Delivery,Snacks,125,Medium,4.8,Snacks,105
O000094,U00094,Dinner,Saturday,Weekend,No,Delhi,Credit Card,Beverages,180,Mild,4.8,Beverages,260
O000095,U00095,Evening Snack,Tuesday,Weekday,No,Hyderabad,Wallet,South Indian,165,Medium,3.9,South Indian,90
O000096,U00096,Breakfast,Friday,Weekday,Yes,Chennai,UPI,Bengali,275,Mild,4.3,Bengali,205
O000097,U00097,Lunch,Saturday,Weekend,No,Kolkata,UPI,Mediterranean,355,Mild,4.8,Mediterranean,265
O000098,U00098,Lunch,Friday,Weekday,Yes,Ahmedabad,Cash on Delivery,Kebabs,235,Medium,4,Kebabs,205
O000099,U00099,Dinner,Wednesday,Weekday,No,Jaipur,Credit Card,Desserts,165,Mild,4.2,Desserts,240
O000100,U00100,Breakfast,Monday,Weekday,No,Lucknow,Wallet,Italian-American,135,Hot,4.3,Italian-American,80
O000101,U00101,Lunch,Tuesday,Weekday,No,Bengaluru,UPI,Italian,210,Mild,4.3,Italian,220
O000102,U00102,Dinner,Thursday,Weekday,Yes,Pune,UPI,Snacks,100,Medium,4.5,Snacks,120
O000103,U00103,Evening Snack,Saturday,Weekend,No,Mumbai,Cash on Delivery,Pizzas,155,Hot,4,Pizzas,140
O000104,U00104,Dinner,Saturday,Weekend,No,Delhi,Credit Card,Fast Food,90,Mild,4.8,Fast Food,140
O000105,U00105,Evening Snack,Saturday,Weekend,Yes,Hyderabad,Wallet,Continental,310,Medium,4.4,Pizzas,270
O000106,U00106,Dinner,Monday,Weekday,No,Chennai,UPI,Mediterranean,280,Hot,4.1,Mediterranean,330
O000107,U00107,Dinner,Thursday,Weekday,Yes,Kolkata,UPI,Snacks,150,Medium,4.8,Snacks,150
O000108,U00108,Lunch,Saturday,Weekend,Yes,Ahmedabad,Cash on Delivery,Juices,140,Mild,4.1,Juices,145
O000109,U00109,Lunch,Wednesday,Weekday,No,Jaipur,Credit Card,Jain,285,Hot,3.7,Gujarati,240
O000110,U00110,Breakfast,Thursday,Weekday,Yes,Lucknow,Wallet,Tibetan,120,Medium,5,Tibetan,75
O000111,U00111,Breakfast,Friday,Weekday,No,Bengaluru,UPI,Portuguese,455,Medium,4.6,Portuguese,400
O000112,U00112,Dinner,Tuesday,Weekday,No,Pune,UPI,Italian,245,Medium,4.4,Italian,300
O000113,U00113,Breakfast,Tuesday,Weekday,No,Mumbai,Cash on Delivery,Barbecue,255,Medium,4.5,Barbecue,200
O000114,U00114,Dinner,Friday,Weekday,Yes,Delhi,Credit Card,French,255,Hot,4.3,French,400
O000115,U00115,Dinner,Saturday,Weekend,Yes,Hyderabad,Wallet,Assamese,95,Hot,3.8,Assamese,135
O000116,U00116,Dinner,Thursday,Weekday,Yes,Chennai,UPI,Chinese,205,Hot,5,Chinese,285
O000117,U00117,Breakfast,Friday,Weekday,No,Kolkata,UPI,Tex-Mex,205,Mild,4,Tex-Mex,90
O000118,U00118,Dinner,Saturday,Weekend,No,Ahmedabad,Cash on Delivery,Steakhouse,320,Medium,4.1,Steakhouse,455
O000119,U00119,Dinner,Sunday,Weekend,Yes,Jaipur,Credit Card,Bengali,185,Medium,4.4,Bengali,250
O000120,U00120,Dinner,Wednesday,Weekday,No,Lucknow,Wallet,Chinese,210,Medium,4.9,Chinese,190
O000121,U00121,Dinner,Monday,Weekday,No,Bengaluru,UPI,Desserts,180,Mild,4.1,Desserts,245
O000122,U00122,Dinner,Saturday,Weekend,No,Pune,UPI,Bengali,275,Medium,3.9,Bengali,345
O000123,U00123,Breakfast,Tuesday,Weekday,Yes,Mumbai,Cash on Delivery,Juices,140,Mild,4.6,Juices,95
O000124,U00124,Lunch,Monday,Weekday,Yes,Delhi,Credit Card,Grill,140,Mild,4.2,Grill,190
O000125,U00125,Dinner,Friday,Weekday,No,Hyderabad,Wallet,Chinese,180,Medium,3.9,Chinese,220
O000126,U00126,Evening Snack,Sunday,Weekend,No,Chennai,UPI,Portuguese,500,Hot,4.1,Portuguese,385
O000127,U00127,Lunch,Sunday,Weekend,Yes,Kolkata,UPI,Tandoor,210,Medium,3.5,Chinese,230
O000128,U00128,Lunch,Saturday,Weekend,No,Ahmedabad,Cash on Delivery,Kebabs,115,Medium,4.2,Kebabs,105
O000129,U00129,Dinner,Wednesday,Weekday,No,Jaipur,Credit Card,North Indian,145,Medium,4.6,North Indian,145
O000130,U00130,Dinner,Friday,Weekday,Yes,Lucknow,Wallet,Arabian,155,Medium,3.7,Arabian,150
O000131,U00131,Dinner,Sunday,Weekend,No,Bengaluru,UPI,SVANidhi Street Food Vendor,80,Hot,3.7,SVANidhi Street Food Vendor,105
O000132,U00132,Dinner,Thursday,Weekday,No,Pune,UPI,Punjabi,160,Medium,5,Punjabi,195
O000133,U00133,Breakfast,Saturday,Weekend,No,Mumbai,Cash on Delivery,North Indian,180,Medium,4,North Indian,100
O000134,U00134,Dinner,Sunday,Weekend,No,Delhi,Credit Card,Beverages,175,Mild,4.3,Beverages,270
O000135,U00135,Dinner,Saturday,Weekend,No,Hyderabad,Wallet,French,195,Mild,4.3,French,275
O000136,U00136,Lunch,Saturday,Weekend,No,Chennai,UPI,Combo,200,Medium,4.2,Combo,185
O000137,U00137,Evening Snack,Monday,Weekday,No,Kolkata,UPI,Beverages,150,Mild,4.7,Beverages,75
O000138,U00138,Evening Snack,Tuesday,Weekday,Yes,Ahmedabad,Cash on Delivery,Tibetan,130,Hot,4.3,Tibetan,65
O000139,U00139,Dinner,Tuesday,Weekday,Yes,Jaipur,Credit Card,Grill,290,Medium,5,Grill,320
O000140,U00140,Dinner,Saturday,Weekend,No,Lucknow,Wallet,Biryani,315,Hot,4.1,Biryani,290
O000141,U00141,Dinner,Thursday,Weekday,No,Bengaluru,UPI,Burgers,180,Mild,4.5,Burgers,245
O000142,U00142,Lunch,Sunday,Weekend,No,Pune,UPI,Salads,270,Medium,4.6,Salads,345
O000143,U00143,Lunch,Sunday,Weekend,No,Mumbai,Cash on Delivery,Coastal,130,Mild,3.5,Coastal,145
O000144,U00144,Dinner,Saturday,Weekend,No,Delhi,Credit Card,Indian,200,Mild,4.9,Indian,260
O000145,U00145,Dinner,Sunday,Weekend,Yes,Hyderabad,Wallet,Lucknowi,205,Hot,4.4,Lucknowi,250
O000146,U00146,Lunch,Saturday,Weekend,Yes,Chennai,UPI,Juices,125,Mild,4.2,Juices,115
O000147,U00147,Dinner,Wednesday,Weekday,Yes,Kolkata,UPI,American,220,Mild,4.4,American,250
O000148,U00148,Evening Snack,Tuesday,Weekday,No,Ahmedabad,Cash on Delivery,Snacks,105,Mild,4.3,Snacks,80
O000149,U00149,Dinner,Sunday,Weekend,Yes,Jaipur,Credit Card,North Indian,200,Medium,4.9,North Indian,245
O000150,U00150,Dinner,Sunday,Weekend,No,Lucknow,Wallet,Tex-Mex,165,Medium,4.6,Tex-Mex,185
O000151,U00151,Evening Snack,Sunday,Weekend,No,Bengaluru,UPI,Bengali,200,Medium,3.8,Bengali,175
O000152,U00152,Dinner,Tuesday,Weekday,Yes,Pune,UPI,Juices,115,Mild,4.3,Continental,145
O000153,U00153,Dinner,Sunday,Weekend,No,Mumbai,Cash on Delivery,Italian-American,170,Hot,5,Italian-American,185
O000154,U00154,Lunch,Saturday,Weekend,No,Delhi,Credit Card,Snacks,95,Medium,4.3,Snacks,120
O000155,U00155,Lunch,Friday,Weekday,No,Hyderabad,Wallet,Pizzas,230,Medium,3.9,Pizzas,215
O000156,U00156,Dinner,Monday,Weekday,No,Chennai,UPI,Beverages,140,Mild,4.2,Beverages,150
O000157,U00157,Lunch,Friday,Weekday,No,Kolkata,UPI,Mediterranean,330,Medium,5,Mediterranean,310
O000158,U00158,Dinner,Wednesday,Weekday,Yes,Ahmedabad,Cash on Delivery,Andhra,290,Hot,4.6,Andhra,365
O000159,U00159,Dinner,Wednesday,Weekday,No,Jaipur,Credit Card,Tex-Mex,195,Medium,3.7,North Indian,155
O000160,U00160,Dinner,Tuesday,Weekday,Yes,Lucknow,Wallet,Hyderabadi,255,Hot,4.8,Hyderabadi,315
O000161,U00161,Dinner,Thursday,Weekday,No,Bengaluru,UPI,Indian,185,Hot,4.1,Indian,280
O000162,U00162,Dinner,Tuesday,Weekday,No,Pune,UPI,Pizzas,175,Mild,4.4,Pizzas,245
O000163,U00163,Evening Snack,Tuesday,Weekday,No,Mumbai,Cash on Delivery,Italian,230,Medium,5,Italian,180
O000164,U00164,Breakfast,Wednesday,Weekday,No,Delhi,Credit Card,Indian,160,Mild,4.7,Indian,115
O000165,U00165,Dinner,Wednesday,Weekday,No,Hyderabad,Wallet,Bakery,210,Mild,3.7,Bakery,260
O000166,U00166,Dinner,Tuesday,Weekday,Yes,Chennai,UPI,Pan-Asian,195,Mild,3.2,Sweets,220
O000167,U00167,Evening Snack,Tuesday,Weekday,No,Kolkata,UPI,Chinese,170,Mild,4.1,Chinese,100
O000168,U00168,Dinner,Monday,Weekday,Yes,Ahmedabad,Cash on Delivery,Asian,315,Hot,4.3,Asian,335
O000169,U00169,Breakfast,Tuesday,Weekday,Yes,Jaipur,Credit Card,SVANidhi Street Food Vendor,95,Mild,4.4,SVANidhi Street Food Vendor,60
O000170,U00170,Lunch,Saturday,Weekend,Yes,Lucknow,Wallet,Salads,160,Medium,4.8,Salads,150
O000171,U00171,Dinner,Thursday,Weekday,No,Bengaluru,UPI,Biryani,290,Medium,3.6,Asian,390
O000172,U00172,Evening Snack,Thursday,Weekday,Yes,Pune,UPI,Italian,255,Mild,4.6,Italian,155
O000173,U00173,Dinner,Sunday,Weekend,No,Mumbai,Cash on Delivery,Home Food,190,Hot,3.7,Home Food,285
O000174,U00174,Lunch,Monday,Weekday,No,Delhi,Credit Card,Japanese,485,Hot,5,Japanese,535
O000175,U00175,Dinner,Monday,Weekday,Yes,Hyderabad,Wallet,Afghani,120,Hot,3.7,Afghani,140
O000176,U00176,Lunch,Sunday,Weekend,No,Chennai,UPI,Naga,315,Medium,4.9,Naga,250
O000177,U00177,Lunch,Tuesday,Weekday,No,Kolkata,UPI,Sweets,165,Mild,3.1,North Eastern,135
O000178,U00178,Lunch,Thursday,Weekday,No,Ahmedabad,Cash on Delivery,Ice Cream,190,Mild,4.1,Ice Cream,165
O000179,U00179,Lunch,Monday,Weekday,Yes,Jaipur,Credit Card,Keto,275,Mild,4,Keto,270
O000180,U00180,Breakfast,Wednesday,Weekday,Yes,Lucknow,Wallet,Chinese,135,Medium,4,Chinese,85
O000181,U00181,Evening Snack,Friday,Weekday,No,Bengaluru,UPI,Continental,250,Hot,4.1,Continental,190
O000182,U00182,Lunch,Saturday,Weekend,Yes,Pune,UPI,Continental,265,Medium,5,Continental,190
O000183,U00183,Dinner,Friday,Weekday,Yes,Mumbai,Cash on Delivery,Beverages,140,Mild,4.3,Beverages,185
O000184,U00184,Dinner,Friday,Weekday,No,Delhi,Credit Card,Beverages,175,Mild,4.6,Beverages,215
O000185,U00185,Dinner,Saturday,Weekend,Yes,Hyderabad,Wallet,Maharashtrian,165,Medium,4.2,Maharashtrian,270
O000186,U00186,Lunch,Friday,Weekday,Yes,Chennai,UPI,Hyderabadi,280,Hot,4.8,Hyderabadi,300
O000187,U00187,Lunch,Thursday,Weekday,No,Kolkata,UPI,Bakery,225,Mild,4.8,Bakery,240
O000188,U00188,Dinner,Monday,Weekday,No,Ahmedabad,Cash on Delivery,North Indian,175,Medium,4.5,North Indian,235
O000189,U00189,Dinner,Sunday,Weekend,No,Jaipur,Credit Card,Asian,235,Hot,4.6,Asian,345
O000190,U00190,Lunch,Tuesday,Weekday,No,Lucknow,Wallet,Pizzas,170,Medium,4.6,Pizzas,125
O000191,U00191,Breakfast,Tuesday,Weekday,Yes,Bengaluru,UPI,Paan,60,Mild,4.7,Paan,55
O000192,U00192,Dinner,Saturday,Weekend,No,Pune,UPI,South Indian,135,Hot,4.1,South Indian,150
O000193,U00193,Dinner,Sunday,Weekend,Yes,Mumbai,Cash on Delivery,Bengali,175,Medium,4,Bengali,295
O000194,U00194,Breakfast,Friday,Weekday,No,Delhi,Credit Card,Gujarati,110,Mild,4.9,Gujarati,95
O000195,U00195,Dinner,Tuesday,Weekday,Yes,Hyderabad,Wallet,Maharashtrian,145,Mild,4.6,Maharashtrian,200
O000196,U00196,Evening Snack,Sunday,Weekend,No,Chennai,UPI,American,220,Hot,4.5,American,145
O000197,U00197,Breakfast,Thursday,Weekday,No,Kolkata,UPI,Coastal,110,Hot,4.2,Coastal,65
O000198,U00198,Dinner,Friday,Weekday,No,Ahmedabad,Cash on Delivery,Street Food,115,Medium,3.8,Street Food,160
O000199,U00199,Lunch,Monday,Weekday,Yes,Jaipur,Credit Card,Beverages,215,Mild,3.7,Beverages,175
O000200,U00200,Breakfast,Saturday,Weekend,No,Lucknow,Wallet,Nepalese,210,Medium,4.4,Nepalese,165
O000201,U00201,Breakfast,Friday,Weekday,No,Bengaluru,UPI,Tibetan,140,Medium,4.6,Tibetan,100
O000202,U00202,Lunch,Friday,Weekday,No,Pune,UPI,Fast Food,105,Mild,4.8,Fast Food,100
O000203,U00203,Lunch,Sunday,Weekend,No,Mumbai,Cash on Delivery,Mangalorean,210,Mild,4.5,Mangalorean,270
O000204,U00204,Lunch,Sunday,Weekend,Yes,Delhi,Credit Card,Pizzas,210,Medium,3.7,Pizzas,200
O000205,U00205,Lunch,Sunday,Weekend,Yes,Hyderabad,Wallet,Pizzas,225,Medium,4.5,Pizzas,205
O000206,U00206,Evening Snack,Wednesday,Weekday,No,Chennai,UPI,Tex-Mex,165,Medium,3.9,Chinese,85
O000207,U00207,Lunch,Saturday,Weekend,No,Kolkata,UPI,Chinese,200,Medium,4.5,Chinese,155
O000208,U00208,Evening Snack,Monday,Weekday,No,Ahmedabad,Cash on Delivery,Street Food,115,Mild,4.1,Street Food,65
O000209,U00209,Dinner,Thursday,Weekday,No,Jaipur,Credit Card,Beverages,145,Mild,4.8,Beverages,185
O000210,U00210,Breakfast,Saturday,Weekend,No,Lucknow,Wallet,Continental,255,Hot,4.7,Continental,195
O000211,U00211,Dinner,Saturday,Weekend,No,Bengaluru,UPI,Chinese,235,Hot,4.9,Chinese,325
O000212,U00212,Lunch,Monday,Weekday,No,Pune,UPI,Ice Cream Cakes,230,Mild,3.6,Ice Cream Cakes,180
O000213,U00213,Lunch,Monday,Weekday,No,Mumbai,Cash on Delivery,Cafe,165,Medium,4.4,Cafe,170
